time,x,y,z,vx,vy,vz
1940.0,-3.9735084189874264e6,5.472208529702744e6,0.0,-6214.146126465198,-4523.316065251936,0.0
1950.0,-4.0353921225968585e6,5.426623206110071e6,0.0,-6162.461136141747,-4593.651058874774,0.0
1960.0,-4.096754983566024e6,5.380337475659398e6,0.0,-6109.978711215508,-4663.395918545994,0.0
1970.0,-4.1575890611076243e6,5.333357285113862e6,0.0,-6056.705580823398,-4732.541572196888,0.0
1980.0,-4.217886482246041e6,5.2856886715756e6,0.0,-6002.648578021321,-4801.079024297368,0.0
1990.0,-4.2776394428522065e6,5.23733776171433e6,0.0,-5947.814638917806,-4868.99935706248,0.0
2000.0,-4.336840208669737e6,5.1883107709839e6,0.0,-5892.210801793288,-4936.293731649207,0.0
2010.0,-4.395481116332189e6,5.13861400282693e6,0.0,-5835.844206205107,-5002.953389343376,0.0
2020.0,-4.453554574371295e6,5.0882538478676295e6,0.0,-5778.722092078365,-5068.969652736504,0.0
2030.0,-4.511053064216037e6,5.037236783092899e6,0.0,-5720.851798782727,-5134.333926892387,0.0
2040.0,-4.567969141182418e6,4.985569371021818e6,0.0,-5662.2407641953005,-5199.037700503278,0.0
2050.0,-4.624295435453791e6,4.933258258863625e6,0.0,-5602.896523749691,-5263.072547035456,0.0
2060.0,-4.680024653051616e6,4.88031017766429e6,0.0,-5542.82670947137,-5326.430125864042,0.0
2070.0,-4.7351495767964935e6,4.826731941441801e6,0.0,-5482.039048999459,-5389.102183396849,0.0
2080.0,-4.789663067259361e6,4.772530446310266e6,0.0,-5420.541364595071,-5451.080554187143,0.0
2090.0,-4.843558063702693e6,4.717712669592935e6,0.0,-5358.341572136319,-5512.357162035107,0.0
2100.0,-4.896827585011593e6,4.662285668924276e6,0.0,-5295.447680100129,-5572.924021077856,0.0
2110.0,-4.949464730614638e6,4.606256581341204e6,0.0,-5231.867788530988,-5632.7732368678435,0.0
2120.0,-5.00146268139434e6,4.549632622363584e6,0.0,-5167.610087996747,-5691.897007439474,0.0
2130.0,-5.052814700587109e6,4.492421085064127e6,0.0,-5102.682858531637,-5750.287624363779,0.0
2140.0,-5.103514134672577e6,4.4346293391278e6,0.0,-5037.094468566613,-5807.937473790986,0.0
2150.0,-5.153554414252165e6,4.376264829900877e6,0.0,-4970.853373847172,-5864.839037480809,0.0
2160.0,-5.202929054916767e6,4.317335077429737e6,0.0,-4903.9681163387995,-5920.984893820327,0.0
2170.0,-5.251631658103425e6,4.25784767548956e6,0.0,-4836.447323120163,-5976.367718829269,0.0
2180.0,-5.299655911940875e6,4.197810290603024e6,0.0,-4768.299705264224,-6030.98028715256,0.0
